72172400,chair1,wood
72172400,chair2,leather
72172400,chair3,leather
72172400,chair4,wood
72172412,chair1,wood
72172412,chair2,wood
72172412,chair3,leather
72172412,chair4,leather
72172412,chair5,wood
72172412,chair6,wood
72172412,chair7,wood
72172412,chair9,wood
72172412,sofa1,wood
72172412,sofa8,wood
72172462,chair1,leather
72172462,chair2,leather
72172540,chair1,wood
72172540,chair2,wood
72172540,chair3,leather
72172540,chair4,wood
72172540,chair5,wood
72172540,chair6,wood
72172540,chair7,wood
72172540,sofa1,leather
72172623,bed1,wood
72172623,chair1,leather
72172623,chair2,wood
72172623,chair3,wood
72172623,chair4,wood
72172623,chair6,wood
72172623,sofa1,wood
72172623,sofa3,wood
72172623,sofa5,wood
72172625,chair1,leather
72172625,chair2,wood
72172625,chair3,wood
72172625,chair5,wood
72172625,chair6,wood
72172625,sofa4,wood
72172683,chair1,wood
72172683,chair2,wood
72172683,chair3,wood
72172683,chair4,wood
72172683,chair5,wood
72172683,chair6,wood
72172683,chair7,wood
72172683,chair8,wood
72172683,sofa1,leather
72172683,sofa5,wood
72172689,chair1,leather
72172689,chair2,leather
72172704,chair1,leather
72172704,chair2,leather
72172906,chair1,leather
72172906,chair2,stone
72172906,chair3,wood
72172906,chair4,leather
72172906,chair5,wood
72172906,sofa1,leather
72172906,sofa2,wood
72172924,chair1,wood
72172937,chair1,wood
72172937,chair2,wood
72172937,chair3,wood
72172937,chair4,wood
72172937,chair5,wood
72172942,bed1,stone
72172942,chair2,wood
72172956,chair1,leather
72172974,chair1,leather
72172974,chair2,leather
72172982,chair1,leather
72172982,chair2,leather
72173031,chair1,leather
72173031,chair2,leather
72173031,chair3,leather
72173031,chair5,wood
72173031,chair7,wood
72173031,chair8,wood
72173031,sofa2,leather
72173031,sofa4,wood
72173031,sofa6,wood
72173046,bed2,wood
72173046,chair1,wood
72173063,chair1,wood
72173063,chair2,wood
72173119,chair1,leather
72173119,chair2,leather
72173119,chair3,leather
72173119,chair4,wood
72173119,chair5,leather
72173119,chair6,wood
72173119,chair7,wood
72173119,chair8,wood
72173119,sofa1,leather
72173119,sofa2,wood
72173119,sofa3,wood
72173152,chair3,wood
72173152,chair4,wood
72173152,sofa1,wood
72173152,sofa2,wood
72173180,chair1,stone
72173180,chair2,stone
72173180,chair3,wood
72173180,chair4,stone
72173180,chair5,stone
72173180,chair6,wood
72173180,chair7,wood
72173228,chair2,leather
72173228,chair3,leather
72173228,chair5,leather
72173228,sofa1,leather
72173228,sofa4,leather
72173232,bed1,wood
72173244,chair1,wood
72173244,chair4,wood
72173244,sofa1,wood
72173244,sofa2,leather
72173244,sofa3,stone
72173267,chair1,leather
72173267,chair10,leather
72173267,chair3,stone
72173267,chair4,leather
72173267,chair5,leather
72173267,chair6,leather
72173267,chair7,wood
72173267,chair8,leather
72173267,chair9,leather
72173267,sofa2,wood
72173302,bed4,wood
72173302,chair1,leather
72173302,chair10,leather
72173302,chair11,leather
72173302,chair2,wood
72173302,chair3,wood
72173302,chair4,leather
72173302,chair5,leather
72173302,chair6,leather
72173302,chair7,leather
72173302,chair8,leather
72173302,chair9,wood
72173302,sofa1,wood
72173302,sofa2,wood
72173347,chair1,leather
72173378,sofa1,leather
72173378,sofa2,wood
72173379,chair1,leather
72173379,chair2,wood
72173379,chair5,leather
72173379,chair6,leather
72173379,chair7,wood
72173379,sofa1,wood
72173379,sofa2,wood
72173379,sofa3,wood
72173379,sofa4,wood
72173379,sofa5,stone
72173395,chair1,wood
72173395,chair2,wood
72173395,sofa1,wood
72173395,sofa3,wood
72173441,chair1,leather
72173441,chair2,stone
72173441,chair3,stone
72173441,chair4,leather
72173441,chair5,stone
72173441,chair6,leather
72173441,chair7,leather
72173491,bed3,wood
72173491,chair2,stone
72173491,sofa1,leather
72173499,chair1,leather
72173499,chair2,wood
72173499,chair3,leather
72173499,chair4,leather
72173499,chair5,leather
72173499,chair6,leather
72173499,chair7,leather
72173499,chair8,leather
72173499,chair9,leather
72173499,sofa1,leather
72173499,sofa4,leather
72173571,bed1,wood
72173571,chair1,leather
72173571,chair2,leather
72173571,chair3,leather
72173571,chair4,leather
72173571,chair5,leather
72173571,chair6,leather
72173571,chair7,leather
72173571,chair8,wood
72173571,sofa1,leather
72173578,chair1,stone
72173578,chair2,stone
72173578,chair3,leather
72173578,chair4,leather
72173606,chair1,leather
72173606,chair2,leather
72173606,chair3,leather
72173606,chair4,leather
72173606,chair5,leather
72173606,chair6,leather
72173606,chair7,leather
72173627,chair1,wood
72173675,chair1,leather
72173675,chair4,leather
72173675,sofa2,leather
72173675,sofa3,leather
72173694,chair1,wood
72173696,chair1,wood
72173696,chair2,wood
72173696,chair3,wood
72173696,chair4,wood
72173696,chair5,wood
72173696,chair6,leather
72173696,chair7,wood
72173696,sofa1,leather
72173696,sofa2,wood
72173888,chair1,wood
72173888,chair2,leather
72173888,chair3,wood
72173888,chair4,leather
72173888,chair5,leather
72173888,chair6,wood
72173888,chair7,leather
72173893,chair1,wood
72173893,chair2,wood
72173893,chair3,wood
72173893,chair4,wood
72173893,chair5,wood
72173893,sofa1,wood
72173948,chair1,stone
72173948,chair2,wood
72173948,chair3,leather
72173948,chair5,leather
72173948,chair6,wood
72173948,sofa1,stone
72173948,sofa4,wood
72174040,bed1,wood
72174084,sofa1,wood
72174084,sofa2,leather
72174091,chair1,leather
72174091,chair10,leather
72174091,chair2,leather
72174091,chair3,leather
72174091,chair4,leather
72174091,chair5,wood
72174091,chair6,wood
72174091,chair7,wood
72174091,chair9,wood
72174091,sofa1,stone
72174091,sofa10,stone
72174091,sofa2,leather
72174091,sofa6,stone
72174091,sofa8,wood
72174129,chair1,leather
72174129,chair3,stone
72174129,chair4,leather
72174129,sofa1,leather
72174129,sofa2,wood
72174129,sofa3,leather
72174233,chair1,wood
72174233,chair10,leather
72174233,chair2,leather
72174233,chair3,wood
72174233,chair4,leather
72174233,chair5,wood
72174233,chair6,leather
72174233,chair7,leather
72174233,chair8,leather
72174233,chair9,wood
72174233,sofa4,leather
72174233,sofa6,leather
72174323,chair1,stone
72174323,chair2,leather
72174323,chair3,leather
72174323,chair4,wood
72174323,chair5,wood
72174323,chair6,leather
72174354,chair1,leather
72174354,chair2,leather
72174354,chair3,leather
72174354,chair4,leather
72174354,chair5,leather
72174354,sofa1,leather
72174371,chair1,leather
72174398,chair2,wood
72174398,sofa1,stone
72174398,sofa3,wood
72174399,bed1,wood
72174409,chair1,wood
72174409,chair2,wood
72174435,chair1,wood
72174435,chair2,wood
72174435,chair3,stone
72174435,chair4,stone
72174435,chair5,stone
72174435,chair6,stone
72174435,chair7,wood
72174435,chair8,wood
72174444,chair1,leather
72174444,chair2,wood
72174444,chair3,wood
72174444,chair4,wood
72174444,chair5,wood
72174444,chair6,wood
72174444,chair7,wood
72174444,sofa1,wood
72174444,sofa6,wood
72174444,sofa7,wood
72174539,chair1,leather
72174539,chair2,leather
72174539,chair3,wood
72174539,chair4,leather
72174629,bed1,stone
72174629,chair2,stone
72174656,chair1,leather
72174656,chair2,wood
72174656,chair3,wood
72174656,chair4,wood
72174656,chair5,leather
72174656,chair6,leather
72174656,sofa1,leather
72174656,sofa2,leather
72174656,sofa3,leather
72174685,chair1,wood
72174709,chair1,wood
