72198102,147500,13,5,WestSpringfield,1089,3,1,1136,69,7500,Ranch,1,1,Oil,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72197931,292000,13,4,Sandwich,2563,2,1,1066,39,20038,Cape,1,1,ForcedAirOil,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72197821,416000,16,1,Hanson,2341,4,4,1586,107,12839,ColonialAntique,1,0,HotWaterBaseboardGas,MaquanIndianH,HansonMiddle,wHRegional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72197696,545000,12,12,Arlington,2476,1,1,1401,65,4800,Ranch,1,0,ForcedAirOil,ThompsonElem,OttosonMiddle,ArlingtonHigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72197692,347000,5,5,Lawrence,1841,3,3,1860,0,6750,SplitEntry,1,2,CentralHeatForcedAirPropane,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72197356,318970,4,4,Wayland,1778,3,1,1460,97,10000,Bungalow,1,0,Gas,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72197342,973000,12,4,Belmont,2478,4,25,1994,67,7500,ColonialGarrison,1,1,Oil,Burbank,Chenery,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72197334,580000,52,3,Westford,1886,4,25,3888,41,41251,ColonialContemporary,1,2,Gas,MillerDay,Stoneybrook,WestfordAcadem,5,2,0,3,2,0,2,0,0,0,0,0,0,1,0,0
72197203,445000,18,4,Revere,2151,3,15,1440,61,6024,Ranch,,0,HotWaterBaseboardOil,,,,4,3,0,1,3,0,3,0,0,0,0,0,0,0,0,1
72197064,625000,22,6,Medford,2155,3,25,1629,117,3176,Colonial,,0,CentralHeatHotWaterRadiators,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72196962,367000,15,5,Gloucester,1930,3,2,962,117,5000,Colonial,1,1,HotWaterBaseboardGas,Veterans,OMaley,Gloucester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
